,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,2216952340558808.0,,199165038901842.94,
1,0.5,2217582400478767.2,,199189736454363.8,
2,1.0,2222104369455437.5,,199425245667367.5,
3,1.5,2235048898500406.0,132942342.97362219,200102870300289.03,25008955.60889928
4,2.0,2257923103726807.5,960857811.3046101,201385954969651.38,166656058.61148986
5,2.5,2289604651445073.5,2104684178.5546985,203184642315172.62,376830373.49183804
6,3.0,2321452804056207.0,3456857694.19096,205061831045963.47,574737572.5090973
7,3.5,2345902651123025.5,4214623447.052394,206664794463131.6,754607940.3746583
8,4.0,2364411073876440.5,4968043611.5210705,208044994103877.44,885931832.5655112
9,4.5,2378870036245132.5,5447860990.276075,209258775399478.88,958717911.2831876
10,5.0,2390588785493568.0,5873231140.889636,210339636494828.25,1082907244.8142993
11,5.5,2400465469790858.0,6231395616.834489,211318891421761.88,1109176178.037858
12,6.0,2409100360223779.5,6432763967.14352,212222267309115.94,1179512891.7194066
13,6.5,2416894918514692.5,6530078695.756018,213069618253231.62,1225583405.6190782
14,7.0,2424121583035484.5,6872692465.04845,213874275945493.22,1235341740.81645
15,7.5,2430960999830721.5,7173429192.913434,214646093079390.38,1325187242.925027
16,8.0,2437535104269201.0,7444499995.7491865,215393236407049.06,1378243714.4795618
17,8.5,2443926383778405.5,7579781954.702124,216121866851152.6,1425391247.713757
18,9.0,2450189623812419.0,7789283046.525362,216836125995733.94,1437782019.7805753
