,depthsRC,IniProfile
0,-2.5,258.64691162109375
1,-7.5,240.86636352539062
2,-12.5,223.08580017089844
3,-17.5,205.30523681640625
4,-22.5,197.6199951171875
5,-27.5,189.93475341796875
6,-32.5,185.78297424316406
7,-37.5,181.6311798095703
8,-42.5,177.47940063476562
9,-47.5,173.32762145996094
10,-52.5,167.2444610595703
11,-57.5,161.16128540039062
12,-62.5,155.07810974121094
13,-67.5,148.9949493408203
14,-72.5,144.72808837890625
15,-77.5,140.4612274169922
16,-82.5,136.19435119628906
17,-87.5,131.927490234375
18,-92.5,127.66062927246094
19,-97.5,123.39376831054688
20,-102.5,121.46146392822266
21,-107.5,119.52915954589844
22,-112.5,117.59685516357422
23,-117.5,115.66455078125
24,-122.5,113.73224639892578
25,-127.5,111.7999496459961
26,-132.5,109.86764526367188
27,-137.5,107.93534088134766
28,-142.5,106.00303649902344
29,-147.5,104.07073211669922
30,-152.5,103.13975524902344
31,-157.5,102.20877838134766
32,-162.5,101.27780151367188
33,-167.5,100.3468246459961
34,-175.0,95.14881134033203
35,-185.0,89.95079803466797
36,-195.0,84.7527847290039
37,-205.0,82.81037139892578
38,-215.0,80.86796569824219
39,-225.0,78.9255599975586
40,-235.0,76.983154296875
41,-245.0,75.04074096679688
42,-255.0,73.09833526611328
43,-270.0,69.21351623535156
44,-290.0,65.32870483398438
45,-310.0,60.740150451660156
46,-330.0,56.1515998840332
47,-350.0,51.56304931640625
48,-370.0,46.97449493408203
49,-390.0,42.38594436645508
50,-410.0,40.15821838378906
51,-430.0,37.93049240112305
52,-450.0,35.70276641845703
53,-470.0,33.475040435791016
54,-490.0,31.247316360473633
55,-510.0,29.406221389770508
56,-530.0,27.565126419067383
57,-550.0,25.724029541015625
58,-570.0,23.8829345703125
59,-590.0,22.041839599609375
60,-610.0,20.097501754760742
61,-630.0,18.153162002563477
62,-650.0,16.208824157714844
63,-670.0,14.264486312866211
64,-690.0,12.320148468017578
65,-710.0,11.769576072692871
66,-730.0,11.21900463104248
67,-750.0,10.66843318939209
68,-770.0,10.117860794067383
69,-790.0,9.567289352416992
70,-810.0,9.613430976867676
71,-830.0,9.659573554992676
72,-850.0,9.70571517944336
73,-870.0,9.75185775756836
74,-890.0,9.797999382019043
75,-910.0,9.844141960144043
76,-930.0,9.890283584594727
77,-950.0,9.936426162719727
78,-970.0,9.98256778717041
79,-990.0,10.02871036529541
80,-1010.0,10.844027519226074
81,-1030.0,11.659345626831055
82,-1050.0,12.474662780761719
83,-1070.0,13.2899808883667
84,-1090.0,14.105298042297363
85,-1110.0,14.920616149902344
86,-1130.0,15.735933303833008
87,-1150.0,16.551250457763672
88,-1170.0,17.36656951904297
89,-1190.0,18.181886672973633
